player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Deebo Samuel,WR,WAS,NA,6,4,47,NA,NA,0,1,5,NA,0,NA,NA,NA,3126486,ESPN,14136,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,NA,6,4,58,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4373678,ESPN,15761,NA,NA,NA,NA,NA,NA,NA,NA
Keon Coleman,WR,BUF,NA,1,1,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4635008,ESPN,16617,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin Jr.,WR,TB,NA,6,4,48,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3116165,ESPN,13163,NA,NA,NA,NA,NA,NA,NA,NA
Josh Downs,WR,IND,NA,6,4,41,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4688813,ESPN,16187,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Reed,WR,GB,NA,4,3,32,NA,NA,0,1,5,NA,0,NA,NA,NA,4362249,ESPN,16184,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,NA,7,4,49,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,15818,ESPN,11222,NA,NA,NA,NA,NA,NA,NA,NA
Darnell Mooney,WR,ATL,NA,5,3,33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4040655,ESPN,14974,NA,NA,NA,NA,NA,NA,NA,NA
Rashid Shaheed,WR,SEA,NA,4,2,36,NA,NA,0,1,6,NA,0,NA,NA,NA,4032473,ESPN,16080,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Legette,WR,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4430034,ESPN,16639,NA,NA,NA,NA,NA,NA,NA,NA
Cedric Tillman,WR,CLE,NA,4,2,29,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4369863,ESPN,16191,NA,NA,NA,NA,NA,NA,NA,NA
Hollywood Brown,WR,KCC,NA,2,1,12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241372,ESPN,14105,NA,NA,NA,NA,NA,NA,NA,NA
Jayden Higgins,WR,HOU,NA,6,4,47,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4877706,ESPN,17083,NA,NA,NA,NA,NA,NA,NA,NA
Wan'Dale Robinson,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4569587,ESPN,15757,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Mims Jr.,WR,DEN,NA,2,2,19,NA,NA,0,1,6,NA,0,NA,NA,NA,4686472,ESPN,16189,NA,NA,NA,NA,NA,NA,NA,NA
Rashod Bateman,WR,BAL,NA,3,2,31,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4360939,ESPN,15293,NA,NA,NA,NA,NA,NA,NA,NA
DeMario Douglas,WR,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4427095,ESPN,16342,NA,NA,NA,NA,NA,NA,NA,NA
Christian Kirk,WR,HOU,NA,3,2,26,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3895856,ESPN,13633,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Coker,WR,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4695883,ESPN,16809,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aiyuk,WR,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4360438,ESPN,14840,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Palmer,WR,BUF,NA,3,2,30,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4242433,ESPN,15319,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,NA,5,4,45,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4361432,ESPN,15779,NA,NA,NA,NA,NA,NA,NA,NA
Tre' Harris,WR,LAC,NA,2,2,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4686612,ESPN,17072,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,NA,7,5,56,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4360761,ESPN,16206,NA,NA,NA,NA,NA,NA,NA,NA
Amari Cooper,WR,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2976499,ESPN,12175,NA,NA,NA,NA,NA,NA,NA,NA
Luther Burden III,WR,CHI,NA,5,3,38,NA,NA,0,0,3,NA,0,NA,NA,NA,4685278,ESPN,17070,NA,NA,NA,NA,NA,NA,NA,NA
Darius Slayton,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3916945,ESPN,14122,NA,NA,NA,NA,NA,NA,NA,NA
Nick Westbrook-Ikhine,WR,MIA,NA,1,1,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3929785,ESPN,15109,NA,NA,NA,NA,NA,NA,NA,NA
Adam Thielen,WR,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16460,ESPN,11938,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Hopkins,WR,BAL,NA,2,1,17,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,15795,ESPN,11232,NA,NA,NA,NA,NA,NA,NA,NA
Elic Ayomanor,WR,TEN,NA,6,3,42,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4883647,ESPN,17073,NA,NA,NA,NA,NA,NA,NA,NA
Pat Bryant,WR,DEN,NA,5,3,36,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4600981,ESPN,17082,NA,NA,NA,NA,NA,NA,NA,NA
Tutu Atwell,WR,LAR,NA,2,1,18,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4360797,ESPN,15301,NA,NA,NA,NA,NA,NA,NA,NA
Josh Reynolds,WR,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3115306,ESPN,13168,NA,NA,NA,NA,NA,NA,NA,NA
Ray-Ray McCloud III,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3728262,ESPN,13641,NA,NA,NA,NA,NA,NA,NA,NA
Dyami Brown,WR,JAC,NA,1,0,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4361577,ESPN,15292,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Austin III,WR,PIT,NA,5,3,33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4243389,ESPN,15777,NA,NA,NA,NA,NA,NA,NA,NA
Noah Brown,WR,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3121409,ESPN,13172,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Lockett,WR,LV,NA,4,2,20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2577327,ESPN,12187,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,NA,5,3,41,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4429025,ESPN,16188,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,NA,6,3,56,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4248528,ESPN,15789,NA,NA,NA,NA,NA,NA,NA,NA
Adonai Mitchell,WR,NYJ,NA,6,4,53,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4597500,ESPN,16626,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,NA,5,3,42,NA,NA,0,0,1,NA,0,NA,NA,NA,4431280,ESPN,16619,NA,NA,NA,NA,NA,NA,NA,NA
KaVontae Turpin,WR,DAL,NA,2,1,18,NA,NA,0,1,7,NA,0,NA,NA,NA,3676833,ESPN,15981,NA,NA,NA,NA,NA,NA,NA,NA
Allen Lazard,WR,NYJ,NA,2,1,15,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3128390,ESPN,13632,NA,NA,NA,NA,NA,NA,NA,NA
Andrei Iosivas,WR,CIN,NA,3,2,19,NA,NA,0,0,1,NA,0,NA,NA,NA,4368003,ESPN,16207,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,NA,6,3,54,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4360078,ESPN,15768,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,NA,6,4,44,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4569559,ESPN,16788,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Tolbert,WR,DAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4249417,ESPN,15788,NA,NA,NA,NA,NA,NA,NA,NA
Roman Wilson,WR,PIT,NA,2,1,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4431492,ESPN,16629,NA,NA,NA,NA,NA,NA,NA,NA
Kayshon Boutte,WR,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429022,ESPN,16193,NA,NA,NA,NA,NA,NA,NA,NA
David Moore,WR,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4212909,ESPN,13348,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,NA,6,4,46,NA,NA,0,0,2,NA,0,NA,NA,NA,4428718,ESPN,16287,NA,NA,NA,NA,NA,NA,NA,NA
Van Jefferson,WR,TEN,NA,4,2,31,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3930066,ESPN,14858,NA,NA,NA,NA,NA,NA,NA,NA
Brandin Cooks,WR,FA,NA,2,1,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,16731,ESPN,11674,NA,NA,NA,NA,NA,NA,NA,NA
Greg Dortch,WR,ARI,NA,1,1,10,NA,NA,0,1,4,NA,0,NA,NA,NA,4037235,ESPN,14108,NA,NA,NA,NA,NA,NA,NA,NA
Jamari Thrash,WR,CLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4428678,ESPN,16624,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Whittington,WR,LAR,NA,1,0,6,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4569382,ESPN,16633,NA,NA,NA,NA,NA,NA,NA,NA
Jalen McMillan,WR,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4430834,ESPN,16628,NA,NA,NA,NA,NA,NA,NA,NA
Isaac TeSlaa,WR,DET,NA,4,2,34,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5123663,ESPN,17157,NA,NA,NA,NA,NA,NA,NA,NA
Tory Horton,WR,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4597703,ESPN,17098,NA,NA,NA,NA,NA,NA,NA,NA
Malik Washington,WR,MIA,NA,4,3,31,NA,NA,0,1,7,NA,0,NA,NA,NA,4569603,ESPN,16684,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Williams,WR,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4613202,ESPN,17134,NA,NA,NA,NA,NA,NA,NA,NA
Jermaine Burton,WR,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429033,ESPN,16632,NA,NA,NA,NA,NA,NA,NA,NA
Dont'e Thornton Jr.,WR,LV,NA,2,1,17,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4432775,ESPN,17087,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Samuel,WR,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3121427,ESPN,13157,NA,NA,NA,NA,NA,NA,NA,NA
JuJu Smith-Schuster,WR,KCC,NA,1,1,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3120348,ESPN,13156,NA,NA,NA,NA,NA,NA,NA,NA
Parker Washington,WR,JAC,NA,5,3,33,NA,NA,0,0,2,NA,0,NA,NA,NA,4432620,ESPN,16192,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Hutchinson,WR,HOU,NA,3,2,21,NA,NA,0,0,1,NA,0,NA,NA,NA,4686422,ESPN,16201,NA,NA,NA,NA,NA,NA,NA,NA
Jack Bech,WR,LV,NA,1,1,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4603186,ESPN,17078,NA,NA,NA,NA,NA,NA,NA,NA
Chimere Dike,WR,TEN,NA,6,3,42,NA,NA,0,1,5,NA,0,NA,NA,NA,4431268,ESPN,17171,NA,NA,NA,NA,NA,NA,NA,NA
Olamide Zaccheaus,WR,CHI,NA,2,1,10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3917914,ESPN,14592,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Noel,WR,HOU,NA,1,1,8,NA,NA,0,0,1,NA,0,NA,NA,NA,4586312,ESPN,17080,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bobo,WR,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4360405,ESPN,16393,NA,NA,NA,NA,NA,NA,NA,NA
Zay Jones,WR,ARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059722,ESPN,13176,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Moore,WR,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4372414,ESPN,15288,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Bond,WR,CLE,NA,2,1,17,NA,NA,0,0,2,NA,0,NA,NA,NA,4808839,ESPN,17076,NA,NA,NA,NA,NA,NA,NA,NA
Kalif Raymond,WR,DET,NA,4,4,40,NA,NA,0,0,1,NA,0,NA,NA,NA,2973405,ESPN,13066,NA,NA,NA,NA,NA,NA,NA,NA
Luke McCaffrey,WR,WAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426948,ESPN,16635,NA,NA,NA,NA,NA,NA,NA,NA
Mack Hollins,WR,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2991662,ESPN,13289,NA,NA,NA,NA,NA,NA,NA,NA
KhaDarel Hodge,WR,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3047876,ESPN,13963,NA,NA,NA,NA,NA,NA,NA,NA
Jahan Dotson,WR,PHI,NA,2,1,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4361409,ESPN,15755,NA,NA,NA,NA,NA,NA,NA,NA
Demarcus Robinson,WR,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3043116,ESPN,12785,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Nailor,WR,MIN,NA,3,2,23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4382466,ESPN,15786,NA,NA,NA,NA,NA,NA,NA,NA
Sterling Shepard,WR,TB,NA,2,1,11,NA,NA,0,0,2,NA,0,NA,NA,NA,2976592,ESPN,12658,NA,NA,NA,NA,NA,NA,NA,NA
Jaylin Lane,WR,WAS,NA,1,1,8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4602667,ESPN,17184,NA,NA,NA,NA,NA,NA,NA,NA
Arian Smith,WR,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429105,ESPN,17175,NA,NA,NA,NA,NA,NA,NA,NA
Savion Williams,WR,GB,NA,0,0,2,NA,NA,0,1,4,NA,0,NA,NA,NA,4431487,ESPN,17096,NA,NA,NA,NA,NA,NA,NA,NA
Dontayvion Wicks,WR,GB,NA,3,2,22,NA,NA,0,0,2,NA,0,NA,NA,NA,4428850,ESPN,16195,NA,NA,NA,NA,NA,NA,NA,NA
Tyquan Thornton,WR,KCC,NA,1,0,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4362921,ESPN,15787,NA,NA,NA,NA,NA,NA,NA,NA
Derius Davis,WR,LAC,NA,0,0,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4362477,ESPN,16299,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Flournoy,WR,DAL,NA,3,2,22,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5083754,ESPN,16778,NA,NA,NA,NA,NA,NA,NA,NA
Tim Patrick,WR,JAC,NA,1,1,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3134353,ESPN,13377,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Gipson,WR,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4427278,ESPN,16416,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Watkins,WR,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4431466,ESPN,17192,NA,NA,NA,NA,NA,NA,NA,NA
Tez Johnson,WR,TB,NA,3,2,24,NA,NA,0,1,3,NA,0,NA,NA,NA,4608810,ESPN,17079,NA,NA,NA,NA,NA,NA,NA,NA
Efton Chism III,WR,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4695193,ESPN,17269,NA,NA,NA,NA,NA,NA,NA,NA
Scotty Miller,WR,PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3914397,ESPN,14280,NA,NA,NA,NA,NA,NA,NA,NA
Trey Palmer,WR,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4426407,ESPN,16199,NA,NA,NA,NA,NA,NA,NA,NA
Jamal Agnew,WR,ATL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3061612,ESPN,13308,NA,NA,NA,NA,NA,NA,NA,NA
Tai Felton,WR,MIN,NA,1,0,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4565185,ESPN,17097,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Royals,WR,KCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5082630,ESPN,17086,NA,NA,NA,NA,NA,NA,NA,NA
Jimmy Horn Jr.,WR,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4708486,ESPN,17234,NA,NA,NA,NA,NA,NA,NA,NA
Bo Melton,WR,GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4259305,ESPN,15785,NA,NA,NA,NA,NA,NA,NA,NA
Trent Sherfield Sr.,WR,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3122168,ESPN,13893,NA,NA,NA,NA,NA,NA,NA,NA
Skyy Moore,WR,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4430191,ESPN,15766,NA,NA,NA,NA,NA,NA,NA,NA
Jaxon Smith-Njigba,WR,SEA,NA,NA,6.9,103,NA,NA,0.6,0.6,2.9,NA,0,0.1,13.9,NA,23070,FantasyPros,16185,NA,NA,NA,NA,NA,NA,NA,NA
Puka Nacua,WR,LAR,NA,NA,7.4,91.5,NA,NA,0.5,0.5,4.2,NA,0,0.1,12.6,NA,23180,FantasyPros,16211,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,NA,NA,5.4,86.2,NA,NA,0.6,0,0.2,NA,0,0,12.1,NA,22963,FantasyPros,15762,NA,NA,NA,NA,NA,NA,NA,NA
CeeDee Lamb,WR,DAL,NA,NA,6.3,87.2,NA,NA,0.5,0.1,1.3,NA,0,0,12,NA,19202,FantasyPros,14832,NA,NA,NA,NA,NA,NA,NA,NA
Ja'Marr Chase,WR,CIN,NA,NA,6.8,82.8,NA,NA,0.6,0.2,1.2,NA,0,0.1,11.9,NA,19788,FantasyPros,15281,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,NA,NA,4.4,78.8,NA,NA,0.6,0.3,1.9,NA,0,0,11.5,NA,23677,FantasyPros,15756,NA,NA,NA,NA,NA,NA,NA,NA
Davante Adams,WR,LAR,NA,NA,4.7,66.6,NA,NA,0.8,0,0,NA,0,0,11.3,NA,12123,FantasyPros,11675,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KC,NA,NA,5.6,68.2,NA,NA,0.5,0.7,2.5,NA,0,0,10.5,NA,23113,FantasyPros,16194,NA,NA,NA,NA,NA,NA,NA,NA
Emeka Egbuka,WR,TB,NA,NA,4.5,67.8,NA,NA,0.6,0.2,0.6,NA,0,0,10.2,NA,23062,FantasyPros,17081,NA,NA,NA,NA,NA,NA,NA,NA
Nico Collins,WR,HOU,NA,NA,5.6,72.2,NA,NA,0.4,0.1,0.5,NA,0,0.1,9.6,NA,20130,FantasyPros,15290,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Brown,WR,PHI,NA,NA,5,67,NA,NA,0.5,0,0,NA,0,0,9.4,NA,18218,FantasyPros,14104,NA,NA,NA,NA,NA,NA,NA,NA
Chris Olave,WR,NO,NA,NA,5.7,68.6,NA,NA,0.4,0.1,0.3,NA,0,0,9,NA,20111,FantasyPros,15754,NA,NA,NA,NA,NA,NA,NA,NA
Justin Jefferson,WR,MIN,NA,NA,4.8,68.9,NA,NA,0.3,0,0.1,NA,0,0,8.9,NA,19236,FantasyPros,14836,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,NA,NA,4.7,66,NA,NA,0.3,0.8,3.8,NA,0,0.1,8.7,NA,22916,FantasyPros,16190,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,NA,NA,4.6,62.8,NA,NA,0.4,0,0.1,NA,0,0,8.4,NA,19790,FantasyPros,15284,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,NA,4.9,62.2,NA,NA,0.3,0,0,NA,0,0,8.2,NA,19222,FantasyPros,15282,NA,NA,NA,NA,NA,NA,NA,NA
Ladd McConkey,WR,LAC,NA,NA,4.5,58.8,NA,NA,0.4,0,0.1,NA,0,0,8,NA,26122,FantasyPros,16627,NA,NA,NA,NA,NA,NA,NA,NA
Christian Watson,WR,GB,NA,NA,3.3,55.9,NA,NA,0.4,0.1,0.3,NA,0,0,8,NA,23886,FantasyPros,15789,NA,NA,NA,NA,NA,NA,NA,NA
Brian Thomas Jr.,WR,JAC,NA,NA,3.9,57.9,NA,NA,0.3,0.1,0.5,NA,0,0,7.9,NA,23000,FantasyPros,16618,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,NA,NA,4,54.1,NA,NA,0.4,0,0,NA,0,0,7.9,NA,17253,FantasyPros,13630,NA,NA,NA,NA,NA,NA,NA,NA
DK Metcalf,WR,PIT,NA,NA,3.7,54.7,NA,NA,0.4,0,0.2,NA,0,0,7.9,NA,18219,FantasyPros,14102,NA,NA,NA,NA,NA,NA,NA,NA
Marvin Harrison Jr.,WR,ARI,NA,NA,4.2,58.4,NA,NA,0.3,0,0.1,NA,0,0,7.8,NA,23064,FantasyPros,16614,NA,NA,NA,NA,NA,NA,NA,NA
Alec Pierce,WR,IND,NA,NA,3.2,60.2,NA,NA,0.3,0,0,NA,0,0,7.7,NA,23791,FantasyPros,15768,NA,NA,NA,NA,NA,NA,NA,NA
Tee Higgins,WR,CIN,NA,NA,3.5,49,NA,NA,0.5,0,0.1,NA,0,0,7.7,NA,19211,FantasyPros,14835,NA,NA,NA,NA,NA,NA,NA,NA
Drake London,WR,ATL,NA,NA,4.2,53.4,NA,NA,0.4,0.2,0.7,NA,0,0,7.6,NA,23163,FantasyPros,15751,NA,NA,NA,NA,NA,NA,NA,NA
Terry McLaurin,WR,WAS,NA,NA,3.9,53.8,NA,NA,0.4,0,0.1,NA,0,0,7.6,NA,18466,FantasyPros,14109,NA,NA,NA,NA,NA,NA,NA,NA
Khalil Shakir,WR,BUF,NA,NA,4.6,54.2,NA,NA,0.4,0,0.2,NA,0,0.1,7.5,NA,23748,FantasyPros,15761,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,NA,NA,3.6,52.6,NA,NA,0.4,0,0.2,NA,0,0,7.4,NA,25411,FantasyPros,16616,NA,NA,NA,NA,NA,NA,NA,NA
Michael Pittman Jr.,WR,IND,NA,NA,4.9,53.3,NA,NA,0.3,0,0.1,NA,0,0,7.4,NA,19278,FantasyPros,14842,NA,NA,NA,NA,NA,NA,NA,NA
Romeo Doubs,WR,GB,NA,NA,3.7,47.2,NA,NA,0.4,0,0,NA,0,0,7.1,NA,23794,FantasyPros,15779,NA,NA,NA,NA,NA,NA,NA,NA
Deebo Samuel Sr.,WR,WAS,NA,NA,4,43.2,NA,NA,0.3,1.5,5.9,NA,0.1,0,7,NA,18244,FantasyPros,14136,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAC,NA,NA,4.2,51,NA,NA,0.3,0.1,0.8,NA,0,0,6.9,NA,18598,FantasyPros,14127,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,WR,MIN,NA,NA,3.2,45.9,NA,NA,0.4,0,0.6,NA,0,0,6.7,NA,23107,FantasyPros,16186,NA,NA,NA,NA,NA,NA,NA,NA
Chris Godwin Jr.,WR,TB,NA,NA,3.9,47.2,NA,NA,0.3,0,0.3,NA,0,0,6.5,NA,16406,FantasyPros,13163,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Worthy,WR,KC,NA,NA,3.3,41,NA,NA,0.3,0.9,5.7,NA,0.1,0,6.5,NA,23019,FantasyPros,16620,NA,NA,NA,NA,NA,NA,NA,NA
Troy Franklin,WR,DEN,NA,NA,3.5,41.3,NA,NA,0.4,0.6,2,NA,0,0.1,6.5,NA,23092,FantasyPros,16619,NA,NA,NA,NA,NA,NA,NA,NA
Quentin Johnston,WR,LAC,NA,NA,3.1,44,NA,NA,0.3,0.1,0.4,NA,0,0.1,6.4,NA,23123,FantasyPros,16188,NA,NA,NA,NA,NA,NA,NA,NA
Keenan Allen,WR,LAC,NA,NA,3.9,44.4,NA,NA,0.3,0,0.1,NA,0,0,6.2,NA,11616,FantasyPros,11222,NA,NA,NA,NA,NA,NA,NA,NA
Amon-Ra St. Brown,WR,DET,NA,NA,3.2,39.5,NA,NA,0.3,0,0.4,NA,0,0,6,NA,19799,FantasyPros,15287,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilson,WR,ARI,NA,NA,4.2,49.8,NA,NA,0.2,0,0.1,NA,0,0,6,NA,25333,FantasyPros,16206,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,NA,NA,3.4,40.1,NA,NA,0.2,0.9,4.5,NA,0,0.1,5.9,NA,17265,FantasyPros,13635,NA,NA,NA,NA,NA,NA,NA,NA
Tre Tucker,WR,LV,NA,NA,3.3,41.8,NA,NA,0.2,0.4,2.2,NA,0,0,5.8,NA,25337,FantasyPros,16287,NA,NA,NA,NA,NA,NA,NA,NA
Devaughn Vele,WR,NO,NA,NA,3.4,41.3,NA,NA,0.3,0,0.1,NA,0,0,5.7,NA,26409,FantasyPros,16788,NA,NA,NA,NA,NA,NA,NA,NA
