player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_4049_att,fg_0039,fg_att_39,bye,opp,curr_site_pts,fg_pct,xp_pct,pct_owned
Cameron Dicker,K,LAC,1,2.2,2.4,0,0,0.5,0.5,0.7,0.8,0.6,0.7,0.3,0.3,2.8,2.9,9.4,9.4,2961997,CBS,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,2.2,2.6,0,0,0.5,0.5,0.7,0.8,0.7,0.7,0.4,0.4,2.8,2.8,9.4,9.4,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zane Gonzalez,K,ATL,1,2.1,2.3,0,0,0.5,0.5,0.5,0.6,0.7,0.8,0.4,0.4,2.8,2.8,9.1,9.1,2061033,CBS,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,1,2,2.3,0,0,0.4,0.5,0.8,0.8,0.5,0.6,0.3,0.3,2.9,2.9,8.9,8.9,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,1,2,2.4,0,0,0.5,0.5,0.6,0.7,0.5,0.7,0.4,0.4,2.8,2.9,8.8,8.8,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,1,1.7,1.9,0,0,0.5,0.5,0.5,0.6,0.5,0.6,0.1,0.1,3.3,3.4,8.4,8.4,3174704,CBS,17222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.9,2.1,0,0,0.6,0.6,0.6,0.6,0.4,0.5,0.2,0.2,2.6,2.9,8.3,8.3,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,MIA,1,1.9,2.2,0,0,0.4,0.5,0.7,0.8,0.7,0.7,0.1,0.1,2.6,2.7,8.3,8.3,2865368,CBS,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andres Borregales,K,NE,1,1.8,2.1,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.3,0.3,2.8,3,8.2,8.2,26699665,CBS,17220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.7,2,0,0,0.4,0.4,0.5,0.6,0.5,0.5,0.3,0.3,3,3,8.1,8.1,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,1,1.8,2,0,0,0.4,0.4,0.6,0.6,0.5,0.6,0.3,0.3,2.4,2.6,7.8,7.8,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Mevis,K,LAR,1,1.6,1.9,0,0,0.4,0.4,0.5,0.5,0.5,0.6,0.2,0.2,3,3,7.8,7.8,3162619,CBS,16843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAC,1,1.6,1.9,0,0,0.4,0.4,0.5,0.5,0.4,0.6,0.3,0.3,2.9,3,7.7,7.7,26702477,CBS,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,1,1.8,1.9,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,2.3,2.4,7.7,7.7,2815718,CBS,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NYJ,1,1.7,1.8,0,0,0.4,0.4,0.5,0.5,0.5,0.6,0.3,0.3,2.3,2.3,7.4,7.4,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,1,1.6,2,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.2,0.2,2.4,2.5,7.2,7.2,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,1,1.7,2,0,0,0.4,0.4,0.5,0.5,0.5,0.7,0.3,0.3,2.1,2.1,7.2,7.2,2132690,CBS,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.4,0.5,0.3,0.3,2,2,7.1,7.1,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,BUF,1,1.5,1.8,0,0,0.3,0.3,0.5,0.6,0.5,0.6,0.2,0.2,2.5,2.7,7,7,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,SF,1,1.7,1.8,0,0,0.4,0.4,0.4,0.4,0.6,0.6,0.3,0.3,1.9,2.1,7,7,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.5,1.9,0,0,0.3,0.3,0.4,0.4,0.5,0.6,0.3,0.3,2.4,2.5,6.9,6.9,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,WAS,1,1.6,2.1,0,0,0.4,0.5,0.6,0.7,0.4,0.6,0.1,0.1,2.1,2.2,6.9,6.9,2968527,CBS,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,1,1.5,1.8,0,0,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.3,2.4,2.6,6.9,6.9,3173439,CBS,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CIN,1,1.6,2,0,0,0.5,0.5,0.5,0.6,0.4,0.6,0.2,0.2,1.9,2.1,6.7,6.7,3121034,CBS,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,1,1.5,1.7,0,0,0.3,0.3,0.4,0.5,0.5,0.6,0.3,0.3,2.1,2.2,6.6,6.6,1724930,CBS,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,1,1.5,1.9,0,0,0.4,0.4,0.5,0.6,0.5,0.7,0.2,0.2,2,2.1,6.5,6.5,2964074,CBS,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,TEN,1,1.5,1.8,0,0,0.3,0.4,0.4,0.5,0.4,0.6,0.3,0.3,1.8,1.9,6.3,6.3,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.5,1.8,0,0,0.4,0.4,0.4,0.5,0.4,0.5,0.2,0.2,1.7,1.8,6.2,6.2,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Szmyt,K,CLE,1,1.4,1.7,0,0,0.3,0.3,0.5,0.6,0.3,0.4,0.2,0.2,2,2.1,6.2,6.2,2868551,CBS,16419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,1,1.3,1.4,0,0,0.3,0.3,0.4,0.4,0.3,0.4,0.2,0.2,1.9,1.9,5.8,5.8,3121084,CBS,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,NYG,1,1.2,1.4,0,0,0.3,0.3,0.4,0.4,0.4,0.5,0.1,0.1,1.9,2,5.5,5.5,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Fitzgerald,K,CAR,1,1.3,1.6,0,0,0.4,0.4,0.4,0.5,0.4,0.4,0.1,0.1,1.4,1.6,5.3,5.3,3126649,CBS,17277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4689936,ESPN,16846,0,1,1,1,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,3150744,ESPN,14717,0,1,1,1,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4362081,ESPN,15979,0,1,1,1,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,3953687,ESPN,16414,0,1,1,1,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3917232,ESPN,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,3050478,ESPN,13303,0,1,1,1,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,17372,ESPN,11936,0,1,1,1,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KCC,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,3055899,ESPN,13354,0,1,1,1,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,17427,ESPN,11945,0,1,1,1,NA,NA,NA,NA,NA,NA
Tyler Loop,K,BAL,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,3,NA,NA,4697745,ESPN,17222,0,1,1,1,NA,NA,NA,NA,NA,NA
Matt Gay,K,SF,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,4249087,ESPN,14244,0,1,1,1,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,2,NA,NA,2971573,ESPN,12860,0,1,1,1,NA,NA,NA,NA,NA,NA
