player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Younghoe Koo,K,ATL,1,2.2,2.5,0,0,0.6,0.6,0.7,0.8,0.5,0.7,0.3,0.3,2.5,2.7,9.1,9.1,2820093,CBS,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Succop,K,TB,1,1.9,2.3,0,0,0.6,0.6,0.7,0.7,0.4,0.7,0.1,0.1,3.3,3.6,9,9,1674148,CBS,9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,1,1.8,1.9,0,0,0.5,0.5,0.5,0.5,0.6,0.7,0.1,0.1,3.5,3.6,8.9,8.9,1985374,CBS,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,1,1.7,2,0,0,0.5,0.5,0.6,0.7,0.5,0.6,0.1,0.1,3.3,3.4,8.4,8.4,2926810,CBS,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,1,1.8,2,0,0,0.5,0.5,0.6,0.6,0.5,0.5,0.2,0.2,2.7,3,8.1,8.1,2078888,CBS,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,1,2,2.3,0,0,0.4,0.4,0.5,0.6,0.6,0.7,0.3,0.3,2.1,2.3,8.1,8.1,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.6,1.9,0,0,0.4,0.5,0.5,0.6,0.5,0.6,0.1,0.1,3.2,3.3,8,8,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.9,2.2,0,0,0.5,0.5,0.6,0.7,0.5,0.7,0.2,0.2,2.3,2.5,8,8,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,1,1.8,2.2,0,0,0.4,0.4,0.5,0.6,0.6,0.8,0.2,0.2,2.4,2.6,7.8,7.8,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,1,1.6,1.9,0,0,0.5,0.5,0.4,0.5,0.4,0.6,0.3,0.3,2.6,2.7,7.4,7.4,2188356,CBS,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1.7,2.2,0,0,0.4,0.4,0.6,0.6,0.5,0.7,0.2,0.2,2.3,2.4,7.4,7.4,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodrigo Blankenship,K,IND,1,1.7,2,0,0,0.5,0.5,0.6,0.7,0.5,0.6,0.1,0.1,2.2,2.3,7.3,7.3,2183949,CBS,14912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,1,1.7,2.1,0,0,0.5,0.5,0.5,0.5,0.5,0.6,0.3,0.3,2.1,2.3,7.2,7.2,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Santoso,K,NYG,1,1.7,2,0,0,0.5,0.5,0.5,0.6,0.5,0.6,0.2,0.2,2.1,2.3,7.2,7.2,2060752,CBS,14387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.4,1.5,0,0,0.3,0.3,0.5,0.5,0.4,0.4,0.2,0.2,2.9,3,7.1,7.1,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,1,1.6,1.8,0,0,0.5,0.5,0.4,0.4,0.5,0.7,0.1,0.1,2.2,2.4,7,7,410721,CBS,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,1,1.6,2,0,0,0.4,0.4,0.5,0.6,0.6,0.7,0.1,0.1,2.2,2.3,7,7,1664151,CBS,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,1,1.5,1.7,0,0,0.3,0.3,0.5,0.5,0.5,0.6,0.2,0.2,2.4,2.6,6.9,6.9,2169640,CBS,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Lambo,K,PIT,1,1.5,1.6,0,0,0.5,0.5,0.4,0.4,0.4,0.4,0.2,0.2,2.4,2.6,6.9,6.9,2013049,CBS,12417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,1,1.7,1.9,0,0,0.4,0.4,0.6,0.6,0.5,0.5,0.3,0.3,1.8,2,6.9,6.9,558839,CBS,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,IND,1,1.4,1.8,0,0,0.5,0.5,0.4,0.4,0.5,0.7,0.1,0.1,2.7,2.8,6.9,6.9,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,1,1.5,1.8,0,0,0.4,0.4,0.4,0.4,0.4,0.6,0.3,0.3,2,2.1,6.5,6.5,2131909,CBS,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.5,1.9,0,0,0.6,0.6,0.4,0.5,0.4,0.6,0.1,0.1,1.8,1.9,6.3,6.3,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
