player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,opp,fg_miss,xp_miss,bye,curr_site_pts,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Matthew Wright,K,PIT,1,1.9,2.4,0,0,0.4,0.4,0.7,0.9,0.4,0.7,0.3,0.3,1.7,1.7,7.4,7.4,3116875,CBS,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,1,1.6,2.1,0,0,0.4,0.4,0.6,0.7,0.4,0.6,0.3,0.3,2.5,2.5,7.3,7.3,2008545,CBS,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,1,1.6,1.9,0,0,0.4,0.4,0.4,0.4,0.5,0.7,0.3,0.3,2.2,2.5,7,7,2962681,CBS,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,1,1.5,1.8,0,0,0.5,0.5,0.4,0.4,0.4,0.6,0.2,0.2,2.5,2.6,7,7,553121,CBS,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,1,1.8,2,0,0,0.5,0.6,0.6,0.6,0.4,0.5,0.3,0.3,1.5,1.6,6.9,6.9,2079862,CBS,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,1,1.4,1.7,0,0,0.4,0.4,0.4,0.5,0.3,0.5,0.1,0.1,2.4,2.5,6.6,6.6,408969,CBS,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,1,1.3,1.7,0,0,0.3,0.4,0.5,0.5,0.3,0.5,0.2,0.2,2.6,2.6,6.5,6.5,2080295,CBS,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,1,1.5,1.7,0,0,0.3,0.3,0.4,0.5,0.5,0.6,0.2,0.2,1.9,2,6.4,6.4,1996562,CBS,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,1,1.5,1.9,0,0,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.3,1.8,2,6.3,6.3,2058320,CBS,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,DET,1,1.4,1.6,0,0,0.4,0.4,0.4,0.4,0.5,0.6,0.1,0.1,2,2.1,6.2,6.2,2925140,CBS,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,1,1.4,1.7,0,0,0.4,0.5,0.4,0.4,0.3,0.5,0.2,0.2,1.9,2.1,6.1,6.1,3116871,CBS,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,1,1.4,1.6,0,0,0.3,0.3,0.4,0.4,0.5,0.6,0.2,0.2,1.9,2,6.1,6.1,2165272,CBS,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,1,1.3,1.4,0,0,0.4,0.4,0.5,0.5,0.3,0.3,0.1,0.1,2,2,5.9,5.9,2870511,CBS,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,1,1.4,1.5,0,0,0.3,0.3,0.5,0.6,0.5,0.5,0.1,0.1,1.5,1.7,5.7,5.7,2221833,CBS,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,1,1.2,1.5,0,0,0.3,0.3,0.4,0.5,0.3,0.4,0.2,0.2,1.9,2.1,5.5,5.5,3121034,CBS,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,1,1.2,1.4,0,0,0.3,0.3,0.5,0.5,0.3,0.4,0.2,0.2,1.8,1.8,5.4,5.4,1109832,CBS,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Lambo,K,TEN,1,1.1,1.4,0,0,0.3,0.3,0.4,0.4,0.3,0.4,0.2,0.2,1.6,1.8,4.9,4.9,2013049,CBS,12417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,1,1,1.2,0,0,0.2,0.2,0.3,0.3,0.3,0.4,0.2,0.2,1.5,1.6,4.5,4.5,1971893,CBS,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,23901,FantasyPros,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,2.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,8.6,NA,9232,FantasyPros,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,1.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,8.5,NA,19760,FantasyPros,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,8.1,NA,9491,FantasyPros,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,7.8,NA,16712,FantasyPros,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,7.8,NA,16910,FantasyPros,13403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,1.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7.8,NA,12378,FantasyPros,13909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,7.7,NA,9534,FantasyPros,8153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,7.6,NA,11465,FantasyPros,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,1.7,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7.4,NA,13731,FantasyPros,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,1.7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,7.2,NA,16026,FantasyPros,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,1.8,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,7.1,NA,17420,FantasyPros,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Joseph,K,MIN,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,7,NA,17647,FantasyPros,13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,LAC,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,7,NA,11818,FantasyPros,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,PIT,NA,1.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.9,NA,18779,FantasyPros,14426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,1.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6.9,NA,13274,FantasyPros,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,6.8,NA,15756,FantasyPros,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Badgley,K,DET,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.7,NA,17693,FantasyPros,13980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,1.5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6.7,NA,16540,FantasyPros,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CLE,NA,1.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,6.7,NA,24549,FantasyPros,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evan McPherson,K,CIN,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,6.7,NA,23297,FantasyPros,15368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,1.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6.5,NA,19058,FantasyPros,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mason Crosby,K,GB,NA,1.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,6.3,NA,9433,FantasyPros,8742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Lambo,K,TEN,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6.3,NA,14327,FantasyPros,12417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greg Zuerlein,K,NYJ,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,6.1,NA,11345,FantasyPros,10868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,WAS,NA,1.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,6,NA,19028,FantasyPros,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Prater,K,ARI,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,6,NA,9443,FantasyPros,8930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,1.4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,5.7,NA,17575,FantasyPros,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,LAR,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,5.7,NA,18545,FantasyPros,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlson, Daniel",K,LVR,NA,2.7,2.8,0,NA,0.8,NA,0.9,NA,0.4,NA,0.5,NA,2.3,2.5,11.4,NA,NA,FantasySharks,13718,@DEN,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker, Justin",K,BAL,NA,2.1,2.3,0,NA,0.5,NA,0.6,NA,0.6,NA,0.4,NA,2.6,2.7,9.6,NA,NA,FantasySharks,10976,CAR,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Folk, Nick",K,NEP,NA,2.1,2.3,0.1,NA,0.4,NA,0.6,NA,0.8,NA,0.2,NA,2.4,2.5,9.5,NA,NA,FantasySharks,8851,NYJ,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bass, Tyler",K,BUF,NA,1.7,1.9,0,NA,0.5,NA,0.6,NA,0.4,NA,0.2,NA,3.4,3.5,8.5,NA,NA,FantasySharks,14983,CLE,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gano, Graham",K,NYG,NA,2,2.1,0,NA,0.1,NA,0.9,NA,0.6,NA,0.4,NA,1.6,1.6,8.4,NA,NA,FantasySharks,9694,DET,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zuerlein, Greg",K,NYJ,NA,1.9,2.2,0,NA,0.4,NA,0.7,NA,0.5,NA,0.3,NA,2.4,2.5,8.2,NA,NA,FantasySharks,10868,@NEP,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koo, Younghoe",K,ATL,NA,1.9,2.2,0,NA,0.5,NA,0.6,NA,0.5,NA,0.3,NA,2.5,2.7,8.1,NA,NA,FantasySharks,13403,CHI,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gay, Matt",K,LAR,NA,1.8,1.9,0,NA,0.6,NA,0.7,NA,0.3,NA,0.1,NA,2.4,2.5,8,NA,NA,FantasySharks,14244,@NOS,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hopkins, Dustin",K,LAC,NA,1.8,2,0,NA,0.6,NA,0.7,NA,0.5,NA,0.1,NA,2.4,2.5,8,NA,NA,FantasySharks,11387,KCC,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maher, Brett",K,DAL,NA,1.7,1.9,0,NA,0.5,NA,0.6,NA,0.4,NA,0.3,NA,2.6,2.7,7.9,NA,NA,FantasySharks,13909,@MIN,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santos, Cairo",K,CHI,NA,1.7,1.8,0,NA,0.4,NA,0.6,NA,0.6,NA,0.2,NA,1.9,2.1,7.9,NA,NA,FantasySharks,11945,@ATL,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Badgley, Mike",K,DET,NA,1.6,1.8,0,NA,0.5,NA,0.3,NA,0.7,NA,0.1,NA,2.4,2.5,7.6,NA,NA,FantasySharks,13980,@NYG,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McPherson, Evan",K,CIN,NA,1.5,1.9,0.1,NA,0.3,NA,0.4,NA,0.4,NA,0.4,NA,2.8,2.9,7.4,NA,NA,FantasySharks,15368,@PIT,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butker, Harrison",K,KCC,NA,1.5,1.8,0,NA,0.3,NA,0.4,NA,0.3,NA,0.4,NA,3.1,3.4,7.4,NA,NA,FantasySharks,13354,@LAC,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pineiro, Eddy",K,CAR,NA,1.7,1.9,0,NA,0.1,NA,0.7,NA,0.8,NA,0.1,NA,1.7,1.9,7.3,NA,NA,FantasySharks,13719,@BAL,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gould, Robbie",K,SFO,NA,1.6,1.8,0,NA,0.6,NA,0.3,NA,0.4,NA,0.2,NA,2.4,2.5,7.2,NA,NA,FantasySharks,8153,@ARI,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fairbairn, Ka'imi",K,HOU,NA,1.6,1.9,0,NA,0.3,NA,0.5,NA,0.5,NA,0.3,NA,1.5,1.6,6.8,NA,NA,FantasySharks,12860,WAS,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slye, Joey",K,WAS,NA,1.6,1.9,0.1,NA,0.5,NA,0.4,NA,0.4,NA,0.3,NA,1.4,1.6,6.5,NA,NA,FantasySharks,14600,@HOU,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McLaughlin, Chase",K,IND,NA,1.6,2.1,0,NA,0.3,NA,0.2,NA,0.7,NA,0.3,NA,1.6,1.6,6.3,NA,NA,FantasySharks,14717,PHI,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lutz, Wil",K,NOS,NA,1.4,1.8,0,NA,0.2,NA,0.7,NA,0.3,NA,0.2,NA,2.3,2.4,6.3,NA,NA,FantasySharks,12956,LAR,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott, Jake",K,PHI,NA,1.1,1.3,0,NA,0.3,NA,0.4,NA,0.3,NA,0.1,NA,2.8,2.9,6.2,NA,NA,FantasySharks,13303,@IND,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph, Greg",K,MIN,NA,1.5,1.9,0,NA,0.6,NA,0.4,NA,0.3,NA,0.2,NA,2.2,2.5,6.1,NA,NA,FantasySharks,13898,DAL,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prater, Matt",K,ARI,NA,1.4,1.5,0,NA,0.4,NA,0.5,NA,0.3,NA,0.2,NA,1.9,2,6.1,NA,NA,FantasySharks,8930,SFO,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York, Cade",K,CLE,NA,1.3,1.6,0,NA,0.3,NA,0.5,NA,0.3,NA,0.3,NA,2,2.2,5.7,NA,NA,FantasySharks,15882,@BUF,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wright, Matthew",K,PIT,NA,1.6,2.2,0,NA,0.3,NA,0.7,NA,0.3,NA,0.4,NA,1.5,1.5,5.7,NA,NA,FantasySharks,14426,CIN,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McManus, Brandon",K,DEN,NA,1.5,2,0,NA,0.4,NA,0.3,NA,0.4,NA,0.3,NA,1.4,1.5,5.7,NA,NA,FantasySharks,11947,LVR,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby, Mason",K,GBP,NA,1,1.5,0,NA,0.4,NA,0.4,NA,0.2,NA,0,NA,2.2,2.3,4.5,NA,NA,FantasySharks,8742,TEN,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,NA,17010,FFToday,14983,CLE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,NE,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,3188,FFToday,8851,NYJ,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,NA,11369,FFToday,9694,DET,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,15827,FFToday,13354,LAC,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,18318,FFToday,15979,KC,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,15860,FFToday,13303,IND,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbie Gould,K,SF,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,3177,FFToday,8153,ARI,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brett Maher,K,DAL,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,13253,FFToday,13909,MIN,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,14392,FFToday,11945,ATL,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Badgley,K,DET,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,16407,FFToday,13980,NYG,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,16155,FFToday,13718,DEN,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,14904,FFToday,12860,WAS,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Younghoe Koo,K,ATL,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,14905,FFToday,13403,CHI,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Lambo,K,TEN,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,14585,FFToday,12417,GB,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,NO,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,14750,FFToday,12956,LAR,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,IND,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,16824,FFToday,14717,PHI,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,DEN,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,14391,FFToday,11947,LV,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tristan Vizcaino,K,ARI,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,17417,FFToday,14650,SF,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Wright,K,PIT,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,17379,FFToday,14426,CIN,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
