team,dst_int,dst_safety,dst_sacks,dst_tackles,dst_fum_rec,dst_fum_force,dst_td,dst_pts_allowed,dst_pts_allowed_g,dst_pass_yds_allowed,dst_rush_yds_allowed,dst_yds_allowed,dst_avg_yds_allowed,site_pts,site_fppg,data_src,id,src_id,player,pos,opp,bye,draft_rank,idp_solo,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,fanduel_salary,fanduel_value,draftkings_site_points,draftkings_salary,draftkings_value,yahoo_site_points,yahoo_salary,yahoo_value,return_tds
BUF,1.2,0,3,43.3,0.9,1.2,0.2,19.1,19.1,0,140,295,295,14.4,14.4,CBS,0501,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,1.3,0,3.1,38.6,0.7,0.9,0.2,17.2,17.2,0,118,276,276,14.3,14.3,CBS,0523,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLE,0.9,0,4,36,0.5,0.7,0.2,15.8,15.8,0,89,254,254,14,14,CBS,0507,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEN,1.2,0.1,2.8,38.3,0.7,0.9,0.2,16.9,16.9,0,80,259,259,14,14,CBS,0511,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAR,1.1,0,2.5,42.9,0.9,1.3,0.2,18.8,18.8,0,101,280,280,13.7,13.7,CBS,0528,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SF,0.5,0.1,3.9,39.1,0.8,1,0.1,15.3,15.3,0,111,282,282,13.3,13.3,CBS,0530,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAR,0.8,0,2.7,41.1,0.8,1.1,0.1,20.9,20.9,0,119,276,276,12.5,12.5,CBS,0527,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYG,1,0,2.1,40.3,0.5,0.8,0.2,17.6,17.6,0,104,291,291,12.3,12.3,CBS,0517,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIT,1.2,0,3,41.3,0.8,1.2,0.2,20.3,20.3,0,131,311,311,12.2,12.2,CBS,0510,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAL,1.1,0,2,45.1,0.8,1.2,0.2,16.9,16.9,0,96,342,342,11,11,CBS,0531,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,0.8,0,1.7,38.8,1.1,1.5,0.2,19.3,19.3,0,95,315,315,10.7,10.7,CBS,0502,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIN,0.9,0,2.3,44.8,0.6,0.8,0.2,19.2,19.2,0,117,338,338,10.5,10.5,CBS,0506,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TB,0.6,0,2.4,41.7,0.8,1.1,0.2,21,21,0,117,288,288,10.4,10.4,CBS,0525,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARI,1.1,0,2.4,43.1,1.1,1.6,0.2,26.1,26.1,0,93,375,375,10,10,CBS,0519,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAL,1.4,0,2.4,40.6,0.6,0.8,0.2,24.8,24.8,0,105,358,358,9.6,9.6,CBS,0516,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIA,1,0,2.6,41.8,0.8,1.1,0.2,22.1,22.1,0,133,346,346,9.4,9.4,CBS,0503,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIN,0.8,0,2.6,42.7,0.7,0.9,0.2,25.9,25.9,0,172,371,371,8.8,8.8,CBS,0524,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DET,0.9,0,2.1,41.6,0.7,0.9,0.2,22.2,22.2,0,112,338,338,8.5,8.5,CBS,0522,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NE,1,0,1.9,43.1,0.6,0.8,0.2,21.5,21.5,0,100,313,313,8.3,8.3,CBS,0504,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC,1,0,1.5,45.1,0.8,1.2,0.2,21.2,21.2,0,110,381,381,8.3,8.3,CBS,0512,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAS,0.7,0,1.9,43.1,0.7,0.9,0.2,24.4,24.4,0,109,328,328,7.9,7.9,CBS,0520,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,1,0,1.5,44.2,0.6,0.9,0.2,25.1,25.1,0,91,369,369,7.9,7.9,CBS,0529,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NYJ,0.7,0,2.4,42.3,0.7,0.9,0.1,25.7,25.7,0,135,347,347,7.8,7.8,CBS,0505,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAC,0.7,0,1.9,46.1,0.6,0.8,0.2,23.8,23.8,0,145,354,354,7.7,7.7,CBS,0509,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,0.5,0,2.6,44,0.7,0.9,0.1,26.7,26.7,0,126,363,363,7.6,7.6,CBS,0521,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,0.9,0,2.5,44.2,0.8,1.1,0.2,30.3,30.3,0,128,381,381,7.1,7.1,CBS,0514,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA,0.7,0,1,41.3,0.7,1,0.2,23.3,23.3,0,125,324,324,7,7,CBS,0515,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.7,0,1.9,46.3,0.5,0.6,0.1,24.1,24.1,0,110,323,323,6.9,6.9,CBS,0513,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEN,1,0,2.1,45.4,0.6,0.8,0.2,30.6,30.6,0,132,402,402,6.5,6.5,CBS,0508,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATL,1.1,0,1.2,44,0.6,0.8,0.2,29.3,29.3,0,101,388,388,5.8,5.8,CBS,0526,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHI,0.5,0,1.3,45.1,0.4,0.5,0.1,24.9,24.9,0,114,353,353,5.7,5.7,CBS,0518,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOU,0.5,0,2,43,0.8,1.1,0.1,27.7,27.7,0,130,402,402,5.2,5.2,CBS,0532,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
